id_indicateur_meq,id_indicateur_css,annee_scolaire,cible
1.1.1.4,,2022 - 2023,
1.1.1.4,,2023 - 2024,0.725
1.1.1.4,,2024 - 2025,0.75
1.1.1.4,,2025 - 2026,0.775
1.1.1.4,,2026 - 2027,0.8
1.1.1.5,,2022 - 2023,
1.1.1.5,,2023 - 2024,0.68
1.1.1.5,,2024 - 2025,0.7
1.1.1.5,,2025 - 2026,0.72
1.1.1.5,,2026 - 2027,0.75
1.1.1.6,,2022 - 2023,
1.1.1.6,,2023 - 2024,0.6
1.1.1.6,,2024 - 2025,0.65
1.1.1.6,,2025 - 2026,0.7
1.1.1.6,,2026 - 2027,0.75
1.3.4.11,,2022 - 2023,
1.3.4.11,,2023 - 2024,0.5
1.3.4.11,,2024 - 2025,0.57
1.3.4.11,,2025 - 2026,0.66
1.3.4.11,,2026 - 2027,0.75