code_matiere,friendly_name,niveau_scolaire
FRA100,Français,primaire
FRA200,Français,primaire
FRA300,Français,primaire
FRA400,Français,primaire
FRA500,Français,primaire
FRA600,Français,primaire
MAT100,Maths,primaire
MAT200,Maths,primaire
MAT300,Maths,primaire
MAT400,Maths,primaire
MAT500,Maths,primaire
MAT600,Maths,primaire
132108,Français,1er cycle - secondaire
132208,Français,1er cycle - secondaire
132308,Français,1er cycle - secondaire
132406,Français,2e cycle - secondaire
132506,Français,2e cycle - secondaire
063126,Maths,1er cycle - secondaire
063226,Maths,1er cycle - secondaire
063306,Maths,1er cycle - secondaire
063414,Maths,2e cycle - secondaire
064426,Maths,2e cycle - secondaire
065426,Maths,2e cycle - secondaire
063504,Maths,2e cycle - secondaire
064506,Maths,2e cycle - secondaire
065506,Maths,2e cycle - secondaire
134404,Anglais,2e cycle - secondaire
136406,Anglais,2e cycle - secondaire
134504,Anglais,2e cycle - secondaire
136506,Anglais,2e cycle - secondaire
055444,Science,2e cycle - secondaire
058404,Science,2e cycle - secondaire
057416,Science,2e cycle - secondaire
085404,Histoire,2e cycle - secondaire